reads,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,mean()Acc_X,mean()Acc_Y,mean()Acc_Z,class,label
73,"-0,00001","-0,00008","-0,00008","-0,00007","-0,00003","-0,00002","0,00002","-0,00002",0.27205902,-0.021271356,-0.10063642,0,1
74,"-0,00001","-0,00008","-0,00008","-0,00007","-0,00003","-0,00002","0,00002","-0,00002",0.27631974,-0.017844672,-0.10385552,0,1
75,"-0,00001","-0,00008","-0,00008","-0,00007","-0,00003","-0,00002","0,00002","-0,00002",0.27869543,-0.017640511,-0.10511841,0,1
76,"-0,00001","-0,00008","-0,00008","-0,00007","-0,00003","-0,00002","0,00002","-0,00002",0.28026202,-0.018697516,-0.10968549,0,1
77,"-0,00001","-0,00008","-0,00008","-0,00007","-0,00003","-0,00002","0,00002","-0,00002",0.29238966,-0.014798532,-0.11487816,0,1
78,"-0,00001","-0,00008","-0,00008","-0,00007","-0,00003","-0,00002","0,00002","-0,00002",0.29089459,-0.012652477,-0.11315576,0,1
79,"-0,00001","-0,00008","-0,00008","-0,00007","-0,00003","-0,00002","0,00002","-0,00002",0.27191593,-0.019731212,-0.10278027,0,1
80,"-0,00001","-0,00008","-0,00008","-0,00007","-0,00003","-0,00002","0,00002","-0,00002",0.29301384,-0.01607838,-0.11018298,0,1
81,"-0,00001","-0,00008","-0,00008","-0,00007","-0,00003","-0,00002","0,00002","-0,00002",0.33999093,-0.039323711,-0.11380871,0,1
82,"-0,00001","-0,00008","-0,00008","-0,00007","-0,00003","-0,00002","0,00002","-0,00002",0.32773332,-0.012972104,-0.10934048,0,1
83,"-0,00001","-0,00008","-0,00008","-0,00007","-0,00003","-0,00002","0,00002","-0,00002",0.26238254,-0.020021626,-0.099674861,0,1
84,"-0,00001","-0,00008","-0,00008","-0,00007","-0,00003","-0,00002","0,00002","-0,00002",0.29490692,-0.017273605,-0.10855348,0,1
85,"-0,00001","-0,00008","-0,00008","-0,00007","-0,00003","-0,00002","0,00002","-0,00002",0.2673108,-0.017739291,-0.10418492,0,1
86,"-0,00001","-0,00008","-0,00008","-0,00007","-0,00003","-0,00002","0,00002","-0,00002",0.29493279,-0.018148994,-0.10870259,0,1
89,"-0,00002",0,0,"-0,00005",0,0,"-0,00001","-0,00001",0.2843065,-0.017380345,-0.10824585,0,1
90,"-0,00002",0,0,"-0,00005",0,0,"-0,00001","-0,00001",0.27747775,-0.017918468,-0.10552646,0,1
91,"-0,00002",0,0,"-0,00005",0,0,"-0,00001","-0,00001",0.31454279,-0.015639484,-0.11205392,0,1
92,"-0,00002",0,0,"-0,00005",0,0,"-0,00001","-0,00001",0.27616038,-0.018258159,-0.10492036,0,1
93,"-0,00002",0,0,"-0,00005",0,0,"-0,00001","-0,00001",0.27628845,-0.020230299,-0.099639409,0,1
94,"-0,00002",0,0,"-0,00005",0,0,"-0,00001","-0,00001",0.323685,-0.015714002,-0.11094539,0,1
95,"-0,00002",0,0,"-0,00005",0,0,"-0,00001","-0,00001",0.27524826,-0.016467107,-0.11215011,0,1
96,"-0,00002",0,0,"-0,00005",0,0,"-0,00001","-0,00001",0.20396243,-0.03234452,-0.096881229,0,1
97,"-0,00002",0,0,"-0,00005",0,0,"-0,00001","-0,00001",0.24934321,-0.003410981,-0.056041574,0,1
98,"-0,00002",0,0,"-0,00005",0,0,"-0,00001","-0,00001",0.32505052,-0.029803725,-0.077847175,0,1
99,"-0,00002",0,0,"-0,00005",0,0,"-0,00001","-0,00001",0.30880812,-0.022128064,-0.13210431,0,1
100,"-0,00001","0,00003","0,00004","0,00002",0,"-0,00003","-0,00001",0,0.26559921,-0.015936305,-0.12074953,0,1
101,"-0,00001","-0,00003","-0,00004","-0,00001","-0,00002",0,0,"-0,00001",0.18741915,-0.011533248,-0.10650963,0,1
102,"-0,00001","-0,00003","-0,00004","-0,00001","-0,00002",0,0,"-0,00001",0.28420274,0.013704674,-0.11395407,0,1
103,"-0,00001","-0,00003","-0,00004","-0,00001","-0,00002",0,0,"-0,00001",0.35782982,-0.013519015,-0.13127164,0,1
104,"-0,00001","-0,00003","-0,00004","-0,00001","-0,00002",0,0,"-0,00001",0.31870911,-0.037635508,-0.13241984,0,1
105,"-0,00001","-0,00003","-0,00004","-0,00001","-0,00002",0,0,"-0,00001",0.32008469,-0.010838647,-0.12170815,0,1
106,0,0,"0,00002","-0,00002","-0,00001",0,"-0,00001",0,0.19317016,-0.010586551,-0.088769599,0,1
107,0,0,"0,00002","-0,00002","-0,00001",0,"-0,00001",0,0.19471487,-0.020176701,-0.049544661,0,1
108,0,0,"0,00002","-0,00002","-0,00001",0,"-0,00001",0,0.34969095,-0.030496088,-0.10829783,0,1
109,0,0,"0,00002","-0,00002","-0,00001",0,"-0,00001",0,0.30870458,-0.024987159,-0.1238269,0,1
110,0,0,"0,00002","-0,00002","-0,00001",0,"-0,00001",0,0.21102476,-0.00058166814,-0.096443768,0,1
111,0,0,"0,00002","-0,00002","-0,00001",0,"-0,00001",0,0.29771925,-0.020939986,-0.11438786,0,1
112,0,0,"0,00002","-0,00002","-0,00001",0,"-0,00001",0,0.33314426,-0.043446917,-0.12619938,0,1
113,0,0,"0,00002","-0,00002","-0,00001",0,"-0,00001",0,0.22981714,-0.0026481752,-0.082070626,0,1
114,"-0,00001",0,"-0,00002","-0,00007","-0,00002","-0,00001","-0,00001","-0,00001",0.23748279,0.0021969913,-0.048945315,0,1
115,"-0,00001",0,"-0,00002","-0,00007","-0,00002","-0,00001","-0,00001","-0,00001",0.33150518,-0.036584496,-0.10886677,0,1
116,"-0,00001",0,"-0,00002","-0,00007","-0,00002","-0,00001","-0,00001","-0,00001",0.26663115,-0.043309471,-0.14096216,0,1
117,"-0,00001",0,"-0,00002","-0,00007","-0,00002","-0,00001","-0,00001","-0,00001",0.24042087,0.0010854188,-0.11888144,0,1
118,"-0,00001",0,"-0,00002","-0,00007","-0,00002","-0,00001","-0,00001","-0,00001",0.29112809,0.015567293,-0.10429218,0,1
119,"-0,00001",0,"-0,00002","-0,00007","-0,00002","-0,00001","-0,00001","-0,00001",0.35552927,-0.023789742,-0.12723972,0,1
120,"-0,00001",0,"-0,00002","-0,00007","-0,00002","-0,00001","-0,00001","-0,00001",0.28744253,-0.050273681,-0.13274829,0,1
121,"-0,00001",0,"-0,00002","-0,00007","-0,00002","-0,00001","-0,00001","-0,00001",0.1844141,-0.014817877,-0.089991964,0,1
122,"-0,00003","-0,00007","-0,00005","-0,0001","-0,00002","-0,00001","-0,00001","-0,00001",0.25204831,-0.00060425372,-0.070452518,0,1
123,"0,00001","0,00002","-0,00001","-0,00003","-0,00001","-0,00001","-0,00001","-0,00003",0.33806106,-0.0413713,-0.097384161,0,1
124,"0,00001","0,00002","-0,00001","-0,00003","-0,00001","-0,00001","-0,00001","-0,00003",0.29030031,-0.044250443,-0.12549008,0,1
125,"0,00001","0,00002","-0,00001","-0,00003","-0,00001","-0,00001","-0,00001","-0,00003",0.26086953,-0.015550952,-0.12094838,0,1
126,"0,00001","0,00002","-0,00001","-0,00003","-0,00001","-0,00001","-0,00001","-0,00003",0.39276304,-0.059173884,-0.11092832,0,1
127,"0,00001","0,00002","-0,00001","-0,00003","-0,00001","-0,00001","-0,00001","-0,00003",0.33322745,-0.024943465,-0.15891904,0,1
128,"0,00001","0,00002","-0,00001","-0,00003","-0,00001","-0,00001","-0,00001","-0,00003",0.31615359,0.0012773598,-0.06545266,0,1
129,"0,00001","0,00002","-0,00001","-0,00003","-0,00001","-0,00001","-0,00001","-0,00003",0.15366105,-0.010077719,-0.043894838,0,1
130,"0,00001","0,00002","-0,00001","-0,00003","-0,00001","-0,00001","-0,00001","-0,00003",0.071035289,-0.015656183,-0.094263452,0,1
131,"0,00001","0,00002","-0,00001","-0,00003","-0,00001","-0,00001","-0,00001","-0,00003",0.33304231,-0.01019258,-0.1220055,0,1
132,"0,00001","0,00002","-0,00001","-0,00003","-0,00001","-0,00001","-0,00001","-0,00003",0.27579996,0.0018368697,-0.13628781,0,1
133,"0,00001","0,00002","-0,00001","-0,00003","-0,00001","-0,00001","-0,00001","-0,00003",0.27138623,-0.042483426,-0.12821114,0,1
134,"0,00001","0,00002","-0,00001","-0,00003","-0,00001","-0,00001","-0,00001","-0,00003",0.42604818,-0.058615109,-0.1170689,0,1
135,"0,00001","0,00002","-0,00001","-0,00003","-0,00001","-0,00001","-0,00001","-0,00003",0.2856233,-0.0060363793,-0.19809731,0,1
136,"0,00001","0,00002","-0,00001","-0,00003","-0,00001","-0,00001","-0,00001","-0,00003",0.35480453,-0.018153403,-0.14403353,0,1
139,"-0,00001","0,00001","0,00004",0,"0,00001","-0,00001",0,"-0,00001",0.39558207,-0.012193647,-0.14801867,0,1
140,"-0,00001","0,00001","0,00004",0,"0,00001","-0,00001",0,"-0,00001",0.22715659,-0.022146672,-0.14521449,0,1
141,"-0,00001","0,00001","0,00004",0,"0,00001","-0,00001",0,"-0,00001",0.23483919,0.0081011057,-0.14108314,0,1
142,"-0,00001","0,00001","0,00004",0,"0,00001","-0,00001",0,"-0,00001",0.23820197,-0.0026928807,-0.12149269,0,1
143,"-0,00001","0,00001","0,00004",0,"0,00001","-0,00001",0,"-0,00001",0.27873663,-0.048279124,-0.12092488,0,1
144,"-0,00001","0,00001","0,00004",0,"0,00001","-0,00001",0,"-0,00001",0.26374279,-0.02958616,-0.050708835,0,1
145,"-0,00001","0,00001","0,00004",0,"0,00001","-0,00001",0,"-0,00001",0.30133385,-0.056094277,-0.078006249,0,1
146,"-0,00001","0,00001","0,00004",0,"0,00001","-0,00001",0,"-0,00001",0.28026398,0.0060423653,-0.12786457,0,1
147,"-0,00001","0,00001","0,00004",0,"0,00001","-0,00001",0,"-0,00001",0.24393099,-0.0040036613,-0.12267616,0,1
148,"-0,00001","0,00001","0,00004",0,"0,00001","-0,00001",0,"-0,00001",0.28433754,0.013821312,-0.05753308,0,1
149,"-0,00001","0,00001","0,00004",0,"0,00001","-0,00001",0,"-0,00001",0.41085939,-0.024854391,-0.14898719,0,1
150,"-0,00001","0,00001","0,00004",0,"0,00001","-0,00001",0,"-0,00001",0.17766532,-0.070310559,-0.13630828,0,1
151,"-0,00003","-0,00005","-0,00006","-0,00008","-0,00003","-0,00001","0,00001","-0,00002",0.20574701,-0.00517762,-0.10548391,0,1
153,"-0,00003","-0,00005","-0,00006","-0,00008","-0,00003","-0,00001","0,00001","-0,00002",0.25186651,-0.030378942,-0.3516297,0,1
154,"-0,00003","-0,00005","-0,00006","-0,00008","-0,00003","-0,00001","0,00001","-0,00002",0.20906379,-0.049359552,-0.31450384,0,1
155,"-0,00003","-0,00005","-0,00006","-0,00008","-0,00003","-0,00001","0,00001","-0,00002",0.23655703,-0.0061942794,-0.13948292,0,1
156,"-0,00003","-0,00005","-0,00006","-0,00008","-0,00003","-0,00001","0,00001","-0,00002",0.24274255,0.0099775927,-0.093386183,0,1
157,"-0,00003","-0,00005","-0,00006","-0,00008","-0,00003","-0,00001","0,00001","-0,00002",0.28158555,-0.0075743135,-0.1747021,0,1
158,"-0,00003","-0,00005","-0,00006","-0,00008","-0,00003","-0,00001","0,00001","-0,00002",0.18214828,-0.010646974,-0.16894574,0,1
159,"-0,00003","-0,00005","-0,00006","-0,00008","-0,00003","-0,00001","0,00001","-0,00002",0.1821957,-0.0016884658,-0.089805031,0,1
160,"0,00001",0,"-0,00002","-0,00002","-0,00001","-0,00002","-0,00001",0,0.31178044,0.013873623,-0.21470991,0,1
161,"0,00001",0,"-0,00002","-0,00002","-0,00001","-0,00002","-0,00001",0,0.25615464,0.03261012,-0.22862313,0,1
162,"0,00001",0,"-0,00002","-0,00002","-0,00001","-0,00002","-0,00001",0,0.078156973,-0.027612708,-0.34615379,0,1
163,"0,00001",0,"-0,00002","-0,00002","-0,00001","-0,00002","-0,00001",0,0.17991522,0.040285843,-0.39925032,0,1
164,"0,00001",0,"-0,00002","-0,00002","-0,00001","-0,00002","-0,00001",0,0.28509055,-0.011054655,-0.17546042,0,1
165,"0,00001",0,"-0,00002","-0,00002","-0,00001","-0,00002","-0,00001",0,0.28495022,-0.017809348,-0.10353921,0,1
166,"0,00001",0,"-0,00002","-0,00002","-0,00001","-0,00002","-0,00001",0,0.1982599,-0.0072360841,-0.11697537,0,1
167,"0,00001",0,"-0,00002","-0,00002","-0,00001","-0,00002","-0,00001",0,0.25100692,0.027292221,-0.15904398,0,1
168,"0,00001",0,"-0,00002","-0,00002","-0,00001","-0,00002","-0,00001",0,0.26889811,0.027477206,-0.13197884,0,1
169,"0,00001",0,"-0,00002","-0,00002","-0,00001","-0,00002","-0,00001",0,0.14838783,-0.036547994,-0.11049098,0,1
170,"0,00001",0,"-0,00002","-0,00002","-0,00001","-0,00002","-0,00001",0,0.073728786,-0.14822575,-0.24110951,0,1
171,"0,00001",0,"-0,00002","-0,00002","-0,00001","-0,00002","-0,00001",0,0.28020794,-0.01113497,-0.179611,0,1
172,"0,00001",0,"-0,00002","-0,00002","-0,00001","-0,00002","-0,00001",0,0.27452047,-0.0078204354,-0.12915842,0,1
173,"0,00001",0,"-0,00002","-0,00002","-0,00001","-0,00002","-0,00001",0,0.24402748,-0.0043812777,-0.13437813,0,1
174,0,"-0,00001",0,"0,00001","-0,00001",0,"0,00001",0,0.2858303,-0.0046677341,-0.15274602,0,1
175,0,"-0,00002",0,0,"-0,00001","-0,00001",0,0,0.23646561,-0.036365249,-0.11386168,0,1
176,0,"-0,00002",0,0,"-0,00001","-0,00001",0,0,0.2388571,-0.022813178,-0.023382587,0,1
177,0,"-0,00002",0,0,"-0,00001","-0,00001",0,0,0.29475553,-0.062461304,-0.098216739,0,1
178,0,"-0,00002",0,0,"-0,00001","-0,00001",0,0,0.21881237,-0.055128494,-0.015740984,0,1
179,0,"-0,00002",0,0,"-0,00001","-0,00001",0,0,0.28767511,-0.030786823,-0.17259261,0,1
180,0,"-0,00002",0,0,"-0,00001","-0,00001",0,0,0.28732862,-0.030313825,-0.16753742,0,1
181,0,"-0,00002",0,0,"-0,00001","-0,00001",0,0,0.27273142,-0.028275581,-0.12707511,0,1
182,0,"-0,00002",0,0,"-0,00001","-0,00001",0,0,0.2758409,-0.018403826,-0.10282253,0,1
183,"-0,00002","-0,00001","-0,00002","-0,00001","0,00001","-0,00002","-0,00004","-0,00001",0.27860714,-0.010041872,-0.088410143,0,1
184,"-0,00002","-0,00001","-0,00002","-0,00001","0,00001","-0,00002","-0,00004","-0,00001",0.27627058,-0.0072991585,-0.080292541,0,1
185,"-0,00002","-0,00001","-0,00002","-0,00001","0,00001","-0,00002","-0,00004","-0,00001",0.27848792,-0.012224534,-0.10117153,0,1
186,"-0,00002","-0,00001","-0,00002","-0,00001","0,00001","-0,00002","-0,00004","-0,00001",0.28021898,-0.014917572,-0.1086301,0,1
189,"-0,00002","-0,00001","-0,00002","-0,00001","0,00001","-0,00002","-0,00004","-0,00001",0.27811098,-0.020942513,-0.11285638,0,1
190,"-0,00002","-0,00001","-0,00002","-0,00001","0,00001","-0,00002","-0,00004","-0,00001",0.27143024,-0.026177026,-0.11524626,0,1
191,"-0,00002","-0,00001","-0,00002","-0,00001","0,00001","-0,00002","-0,00004","-0,00001",0.33014802,0.01898283,-0.042531252,0,1
192,"-0,00002","-0,00001","-0,00002","-0,00001","0,00001","-0,00002","-0,00004","-0,00001",0.27746452,-0.022945736,-0.14505044,0,1
193,"-0,00002","-0,00001","-0,00002","-0,00001","0,00001","-0,00002","-0,00004","-0,00001",0.27972876,-0.017344364,-0.11825506,0,1
194,"-0,00002","-0,00001","-0,00002","-0,00001","0,00001","-0,00002","-0,00004","-0,00001",0.27941259,-0.016093153,-0.10220436,0,1
195,"-0,00002","-0,00001","-0,00002","-0,00001","0,00001","-0,00002","-0,00004","-0,00001",0.27740299,-0.017215318,-0.11354467,0,1
196,"-0,00002","-0,00001","-0,00002","-0,00001","0,00001","-0,00002","-0,00004","-0,00001",0.27792121,-0.016941868,-0.11987997,0,1
197,"-0,00002","-0,00001","-0,00002","-0,00001","0,00001","-0,00002","-0,00004","-0,00001",0.27704497,-0.016760148,-0.10919185,0,1
198,"-0,00002","-0,00003","-0,00003","-0,00004","-0,00002","-0,00001","-0,00002",0,0.27295758,-0.022500824,-0.11037456,0,1
199,"-0,00002","-0,00003","-0,00003","-0,00004","-0,00002","-0,00001","-0,00002",0,0.27204575,-0.024955862,-0.11448034,0,1
200,"-0,00002","-0,00003","-0,00003","-0,00004","-0,00002","-0,00001","-0,00002",0,0.28245689,-0.014282925,-0.1134339,0,1
201,"-0,00002","-0,00003","-0,00003","-0,00004","-0,00002","-0,00001","-0,00002",0,0.28722297,-0.010646634,-0.10792908,0,1
202,"-0,00002","-0,00003","-0,00003","-0,00004","-0,00002","-0,00001","-0,00002",0,0.27655316,-0.014799101,-0.099806746,0,1
203,"-0,00002","-0,00003","-0,00003","-0,00004","-0,00002","-0,00001","-0,00002",0,0.23981797,0.082443951,-0.040169582,0,1
204,0,0,"0,00001",0,0,"-0,00001","-0,00002","-0,00001",0.23157481,0.029387192,-0.055042118,0,1
205,0,0,"0,00001",0,0,"-0,00001","-0,00002","-0,00001",0.27074746,-0.0043332488,-0.090021685,0,1
206,0,0,"0,00001",0,0,"-0,00001","-0,00002","-0,00001",0.27160041,-0.01596493,-0.10063981,0,1
207,0,0,"0,00001",0,0,"-0,00001","-0,00002","-0,00001",0.2689962,-0.012391548,-0.096838815,0,1
208,0,0,"0,00001",0,0,"-0,00001","-0,00002","-0,00001",0.27479909,-0.012039553,-0.10255632,0,1
209,0,0,"0,00001",0,0,"-0,00001","-0,00002","-0,00001",0.27879967,-0.015633084,-0.10664773,0,1
210,0,0,"0,00001",0,0,"-0,00001","-0,00002","-0,00001",0.27524573,-0.017001233,-0.10770697,0,1
211,0,0,"0,00001",0,0,"-0,00001","-0,00002","-0,00001",0.27566806,-0.016603733,-0.1049066,0,1
212,0,0,"0,00001",0,0,"-0,00001","-0,00002","-0,00001",0.26569797,-0.016850926,-0.090479419,0,1
213,0,0,"0,00001",0,0,"-0,00001","-0,00002","-0,00001",0.27097605,-0.01515646,-0.096123623,0,1
214,0,0,"0,00001",0,0,"-0,00001","-0,00002","-0,00001",0.41364162,-0.15839475,-0.34597805,0,1
215,0,0,"0,00001",0,0,"-0,00001","-0,00002","-0,00001",0.24841948,-0.019568651,-0.10836772,0,1
216,0,0,"0,00001",0,0,"-0,00001","-0,00002","-0,00001",0.28431213,-0.015594273,-0.085976937,0,1
217,0,0,"0,00001",0,0,"-0,00001","-0,00002","-0,00001",0.26632973,-0.014018832,-0.078509357,0,1
218,0,0,"0,00001",0,0,"-0,00001","-0,00002","-0,00001",0.26902515,-0.013122593,-0.089644011,0,1
219,0,0,"0,00001",0,0,"-0,00001","-0,00002","-0,00001",0.27804665,-0.013597299,-0.11000054,0,1
220,"-0,00003","-0,00001","0,00001","0,00001",0,"-0,00001","-0,00001","-0,00001",0.27542397,-0.0049399286,-0.096703863,0,1
221,"-0,00003","-0,00001","0,00001","0,00001",0,"-0,00001","-0,00001","-0,00001",0.27933873,-0.0073438173,-0.10514613,0,1
222,"-0,00003","-0,00001","0,00001","0,00001",0,"-0,00001","-0,00001","-0,00001",0.2820615,-0.013704805,-0.1175365,0,1
223,"-0,00003","-0,00001","0,00001","0,00001",0,"-0,00001","-0,00001","-0,00001",0.27327371,-0.013628537,-0.096298527,0,1
224,"-0,00003","-0,00001","0,00001","0,00001",0,"-0,00001","-0,00001","-0,00001",0.27540653,-0.019426969,-0.10365438,0,1
